/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-1-cpg-resolved.bin	tc1_flow1	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01.c	72	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01.c	120
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-1-cpg-resolved.bin	tc1_flow2	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01.c	165	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01.c	213
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-1-cpg-resolved.bin	tc1_flow3	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01.c	134	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01.c	136
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-2-cpg-resolved.bin	tc2_flow1	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	74	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	125
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-2-cpg-resolved.bin	tc2_flow2	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	161	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	217
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-2-cpg-resolved.bin	tc2_flow3	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	249	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	300
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-2-cpg-resolved.bin	tc2_flow4	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	318	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	323
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-2-cpg-resolved.bin	tc2_flow5	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	336	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_02.c	341
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-3-cpg-resolved.bin	tc3_flow1	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	74	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	125
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-3-cpg-resolved.bin	tc3_flow2	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	161	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	217
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-3-cpg-resolved.bin	tc3_flow3	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	249	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	300
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-3-cpg-resolved.bin	tc3_flow4	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	318	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	323
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-3-cpg-resolved.bin	tc3_flow5	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	336	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_03.c	341
/home/swlab-jueon/swvul/tools/java-vuln-detection/slicing/output/CPG/c/cwe134_cpg/cwe134-4-cpg-resolved.bin	tc4_flow1	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_04.c	80	CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_04.c	131
